Date,DateTime,Open,High,Low,Close,Volume
2023-03-24,2023-03-24 12:30:00,0.635,64.0,63.0,0.63,620.31
2023-03-24,2023-03-24 13:00:00,0.6366,64.0,63.0,0.631,183.93
2023-03-24,2023-03-24 13:30:00,0.6341,64.0,62.0,0.626,1525.9
2023-03-24,2023-03-24 14:00:00,0.6336,63.0,63.0,0.626,242.26
2023-03-24,2023-03-24 14:30:00,0.6297,65.0,62.0,0.6494,1041.67
2023-03-27,2023-03-27 08:30:00,0.6561,67.0,63.0,0.63,1660.22
2023-03-27,2023-03-27 09:00:00,0.6251,64.0,61.0,0.6245,1506.61
2023-03-27,2023-03-27 09:30:00,0.625,63.0,62.0,0.6297,224.31
2023-03-27,2023-03-27 10:00:00,0.6299,63.0,62.0,0.6201,271.43
2023-03-27,2023-03-27 10:30:00,0.6284,63.0,62.0,0.6207,419.4
2023-03-27,2023-03-27 11:00:00,0.6205,63.0,62.0,0.62,186.73
2023-03-27,2023-03-27 11:30:00,0.6201,63.0,62.0,0.6201,509.85
2023-03-27,2023-03-27 12:00:00,0.6201,62.0,61.0,0.61,910.18
2023-03-27,2023-03-27 12:30:00,0.612,62.0,61.0,0.61,279.9
2023-03-27,2023-03-27 13:00:00,0.61,62.0,61.0,0.6101,277.92
2023-03-27,2023-03-27 13:30:00,0.6182,63.0,61.0,0.6177,548.9
2023-03-27,2023-03-27 14:00:00,0.618,63.0,62.0,0.6299,623.09
2023-03-27,2023-03-27 14:30:00,0.6241,63.0,62.0,0.6238,185.43
2023-03-28,2023-03-28 08:30:00,0.64,64.0,62.0,0.63,699.39
2023-03-28,2023-03-28 09:00:00,0.6259,64.0,62.0,0.6215,746.8
2023-03-28,2023-03-28 09:30:00,0.635,64.0,62.0,0.6201,561.86
2023-03-28,2023-03-28 10:00:00,0.63,63.0,62.0,0.6206,439.45
2023-03-28,2023-03-28 10:30:00,0.6207,63.0,62.0,0.6299,376.99
2023-03-28,2023-03-28 11:00:00,0.6288,64.0,62.0,0.635,1836.94
2023-03-28,2023-03-28 11:30:00,0.6342,64.0,63.0,0.6349,978.38
2023-03-28,2023-03-28 12:00:00,0.635,64.0,62.0,0.6231,862.49
2023-03-28,2023-03-28 12:30:00,0.6232,63.0,62.0,0.62,934.27
2023-03-28,2023-03-28 13:00:00,0.62,63.0,62.0,0.625,543.56
2023-03-28,2023-03-28 13:30:00,0.625,63.0,62.0,0.63,641.5
2023-03-28,2023-03-28 14:00:00,0.6299,63.0,62.0,0.6287,213.55
2023-03-28,2023-03-28 14:30:00,0.6299,63.0,62.0,0.6211,430.43
2023-03-29,2023-03-29 08:30:00,0.6319,64.0,62.0,0.622,1134.89
2023-03-29,2023-03-29 09:00:00,0.6275,63.0,62.0,0.62,731.96
2023-03-29,2023-03-29 09:30:00,0.6247,63.0,62.0,0.6245,296.4
2023-03-29,2023-03-29 10:00:00,0.6249,63.0,62.0,0.6299,223.39
2023-03-29,2023-03-29 10:30:00,0.6255,64.0,62.0,0.6399,465.48
2023-03-29,2023-03-29 11:00:00,0.64,64.0,63.0,0.6301,727.64
2023-03-29,2023-03-29 11:30:00,0.6351,64.0,63.0,0.6348,420.53
2023-03-29,2023-03-29 12:00:00,0.6339,65.0,63.0,0.647,1433.9
2023-03-29,2023-03-29 12:30:00,0.6351,65.0,63.0,0.64,733.28
2023-03-29,2023-03-29 13:00:00,0.6449,64.0,63.0,0.638,117.99
2023-03-29,2023-03-29 13:30:00,0.6399,64.0,63.0,0.637,191.38
2023-03-29,2023-03-29 14:00:00,0.6369,64.0,63.0,0.64,350.9
2023-03-29,2023-03-29 14:30:00,0.64,66.0,63.0,0.6375,1258.3
2023-03-30,2023-03-30 08:30:00,0.6699,67.0,64.0,0.6499,748.79
2023-03-30,2023-03-30 09:00:00,0.6499,66.0,64.0,0.6549,494.75
2023-03-30,2023-03-30 09:30:00,0.6542,65.0,63.0,0.63,625.34
2023-03-30,2023-03-30 10:00:00,0.63,64.0,62.0,0.625,700.06
